row_index,label,score
55000,1,0.04379242591965024
55001,1,0.010244754424921117
55002,1,0.014821485312266899
55003,1,0.011779465773331568
55004,1,0.0092395610571425
55005,1,0.00782986433452549
55006,1,0.007459714562755749
55007,1,0.00705087399858366
55008,1,0.006246799310694924
55009,1,0.006180809374339881
55010,1,0.00571923380741819
55011,1,0.00513525502378417
55012,1,0.005199352437430155
55013,1,0.005251339746381902
55014,1,0.005592447978567375
55015,1,0.005813447331859215
55016,1,0.00620818273079533
55017,1,0.006295393672223449
55018,1,0.006297316768935551
55019,1,0.006283307288317751
55020,1,0.006264398323830343
55021,1,0.00617095832662981
55022,1,0.0061106804232986586
55023,1,0.006005947841872021
55024,1,0.005975485175949066
55025,1,0.005909677304451283
55026,1,0.005850505834395413
55027,1,0.005782296632693581
55028,1,0.005737784619263607
55029,1,0.005708482303561661
55030,1,0.0057089042842380705
55031,1,0.05945397491755817
55032,1,0.005718258632028888
55033,1,0.005732556822824312
55034,1,0.005811604734030642
55035,1,0.005845210005546844
55036,1,0.005906333813682672
55037,1,0.005914551092696527
55038,1,0.005942947785040907
55039,1,0.00595162954313885
55040,1,0.006147560433293592
55041,1,0.005754243577383394
55042,1,0.006049870696737577
55043,1,0.006087143869540386
55044,1,0.006175114965977441
55045,1,0.006263375837338359
55046,1,0.0064512386739552325
55047,1,0.006454936507494949
55048,1,0.006488147063709041
55049,1,0.006892091470893529
55050,1,0.006956377064235222
55051,1,0.007051722770013851
55052,1,0.0070320470518226465
55053,1,0.006994846128017719
55054,1,0.006906059227449028
55055,1,0.010107830439685108
55056,1,0.00983796598582074
55057,1,0.006712050940238962
55058,1,0.006626121142998523
55059,1,0.006326366930369269
55060,1,0.006101596005830533
55061,1,0.005904076335451679
55062,1,0.005775799938396845
55063,1,0.04628732223303302
55064,1,0.005439526502911203
55065,1,0.00541059930126495
55066,1,0.005446591325985288
55067,1,0.005738691489638431
55068,1,0.005923279639512843
55069,1,0.010168204934246987
55070,1,0.0360243262967521
55071,1,0.010928763257361676
55072,1,0.009195683068344236
55073,1,0.007877934463828357
55074,1,0.0068507316374615285
55075,1,0.0065610989710809565
55076,1,0.006072052357357955
55077,1,0.005425710047429322
55078,1,0.0056111556106255645
55079,1,0.006146738410786557
55080,1,0.006954848709431104
55081,1,0.0066822546981694635
55082,1,0.0065843417301589486
55083,1,0.00655509565687915
55084,1,0.006551924814073994
55085,1,0.006713802662802483
55086,1,0.010853820011432019
55087,1,0.0067114602809353295
55088,1,0.010387452525146241
55089,1,0.006746488127679807
55090,1,0.009799566192024389
55091,1,0.006481767236790809
55092,1,0.006584283726757554
55093,1,0.006711597287784622
55094,1,0.0067173354911121445
55095,1,0.006780615164589628
55096,1,0.007037593597151033
55097,1,0.0075600391869837585
55098,1,0.007553849417059531
55099,1,0.007234502150124367
55100,1,0.006796017439325791
55101,1,0.006847795366571539
55102,1,0.0067818839982111525
55103,1,0.006653249423539874
55104,1,0.006470234419917961
55105,1,0.006069757857833203
55106,1,0.006050380074538123
55107,1,0.006044596066961523
55108,1,0.00518685343892568
55109,1,0.005141557469021377
55110,1,0.005721795776545999
55111,1,0.006113385687658889
55112,1,0.006603902637722274
55113,1,0.0072139969706139844
55114,1,0.008184972831659728
55115,1,0.009983980517239628
55116,1,0.010728606772098545
55117,1,0.012871021303718113
55118,1,0.016325768413800144
55119,1,0.010661944924496042
55120,1,0.011384166963886925
55121,1,0.01036048096414412
55122,1,0.010901207929120978
55123,1,0.011657090194614302
55124,1,0.018576644375935883
55125,1,0.017077265926693425
55126,1,0.012899434497778355
55127,1,0.008233219570794335
55128,1,0.006404409667664353
55129,1,0.005580580305142093
55130,1,0.005656641953804363
55131,1,0.005705892729164722
55132,1,0.005837774114496283
55133,1,0.006076512261262804
55134,1,0.006164045960395281
55135,1,0.006643273774619059
55136,1,0.006562660698091794
55137,1,0.0119741829773056
55138,1,0.006396495547598644
55139,1,0.006443927884823234
55140,1,0.006461737643496216
55141,1,0.006442403645947397
55142,1,0.007349747514373418
55143,1,0.006374477266581644
55144,1,0.006345693276384805
55145,1,0.0063344942032502035
55146,1,0.006489576770746433
55147,1,0.00663980671954637
55148,1,0.006711398042010917
55149,1,0.006712113360810085
55150,1,0.006839361321615511
55151,1,0.0067738654089575115
55152,1,0.006789591456335141
55153,1,0.0071417870104703365
55154,1,0.0071694551438774195
55155,1,0.007068043507185829
55156,1,0.010759091016720115
55157,1,0.006743572693472803
55158,1,0.006745254428834425
55159,1,0.006715796396415515
55160,1,0.006466818747815869
55161,1,0.006378956239246252
55162,1,0.006271369242860688
55163,1,0.0062189837131174635
55164,1,0.006020232416424152
55165,1,0.005938321417946996
55166,1,0.0060212160308072415
55167,1,0.04701776866537969
